track_location_id,track_display_name,layout_id,layout_display_name,region,country,real_or_fictional,surface,track_type,opened_year,altitude_m,gtplus_layout_count,dg_edge_variant_count,gt_engine_layout_count_in_seed,source_count_conflict,length_m,longest_straight_m,elevation_change_m,average_gradient_percent,pit_delta_seconds,corners_expected,sectors,bop_applied,oval,reversible,rain_supported,night_supported,full_24h_supported,update_version,source_url,source_confidence,validation_status,modelling_status,notes
circuit_de_la_sarthe,Circuit de la Sarthe,circuit_de_la_sarthe__full_course,Full Course,Europe,France,real,tarmac,circuit,,55,2,2,2,False,,,,,,,,,,,,,,,https://gt-engine.com/gt7/tracks/track-maps.html,source_layout_catalogue,seed_only,not_modelled,
circuit_de_la_sarthe,Circuit de la Sarthe,circuit_de_la_sarthe__no_chicane,No Chicane,Europe,France,real,tarmac,circuit,,55,2,2,2,False,,,,,,,,,,,,,,,https://gt-engine.com/gt7/tracks/track-maps.html,source_layout_catalogue,seed_only,not_modelled,
alsace,Alsace,alsace__village,Village,Europe,France,original,tarmac,circuit,,,2,4,4,False,,,,,,,,,,,,,,,https://gt-engine.com/gt7/tracks/track-maps.html,source_layout_catalogue,seed_only,not_modelled,
alsace,Alsace,alsace__village_reverse,Village Reverse,Europe,France,original,tarmac,circuit,,,2,4,4,False,,,,,,,,,,,,,,,https://gt-engine.com/gt7/tracks/track-maps.html,source_layout_catalogue,seed_only,not_modelled,
alsace,Alsace,alsace__test_course,Test Course,Europe,France,original,tarmac,circuit,,,2,4,4,False,,,,,,,,,,,,,,,https://gt-engine.com/gt7/tracks/track-maps.html,source_layout_catalogue,seed_only,not_modelled,
alsace,Alsace,alsace__test_course_reverse,Test Course Reverse,Europe,France,original,tarmac,circuit,,,2,4,4,False,,,,,,,,,,,,,,,https://gt-engine.com/gt7/tracks/track-maps.html,source_layout_catalogue,seed_only,not_modelled,
autopolis_international_racing_course,Autopolis International Racing Course,autopolis_international_racing_course__full_course,Full Course,Asia,Japan,real,tarmac,circuit,,820,2,2,2,False,,,,,,,,,,,,,,,https://gt-engine.com/gt7/tracks/track-maps.html,source_layout_catalogue,seed_only,not_modelled,
autopolis_international_racing_course,Autopolis International Racing Course,autopolis_international_racing_course__shortcut_course,Shortcut Course,Asia,Japan,real,tarmac,circuit,,820,2,2,2,False,,,,,,,,,,,,,,,https://gt-engine.com/gt7/tracks/track-maps.html,source_layout_catalogue,seed_only,not_modelled,
circuit_de_barcelona_catalunya,Circuit de Barcelona-Catalunya,circuit_de_barcelona_catalunya__grand_prix_layout,Grand Prix Layout,Europe,Spain,real,tarmac,circuit,1991,124,4,4,4,False,,,,,,,,,,,,,,,https://gt-engine.com/gt7/tracks/track-maps.html,source_layout_catalogue,seed_only,not_modelled,
circuit_de_barcelona_catalunya,Circuit de Barcelona-Catalunya,circuit_de_barcelona_catalunya__grand_prix_layout_no_chicane,Grand Prix Layout No Chicane,Europe,Spain,real,tarmac,circuit,1991,124,4,4,4,False,,,,,,,,,,,,,,,https://gt-engine.com/gt7/tracks/track-maps.html,source_layout_catalogue,seed_only,not_modelled,
circuit_de_barcelona_catalunya,Circuit de Barcelona-Catalunya,circuit_de_barcelona_catalunya__national_layout,National Layout,Europe,Spain,real,tarmac,circuit,1991,124,4,4,4,False,,,,,,,,,,,,,,,https://gt-engine.com/gt7/tracks/track-maps.html,source_layout_catalogue,seed_only,not_modelled,
